"No.","Time","Source","Destination","Protocol","Length","Info"
"159","0.001733","11.0.0.210","10.42.0.2","TCP","60","22771  >  80 [SYN] Seq=0 Win=512 Len=0"
"160","0.001741","11.0.0.210","10.42.0.2","TCP","60","22773  >  80 [SYN] Seq=0 Win=512 Len=0"
"161","0.001772","11.0.0.210","10.42.0.2","TCP","60","22776  >  80 [SYN] Seq=0 Win=512 Len=0"
"162","0.001781","11.0.0.210","10.42.0.2","TCP","60","22777  >  80 [SYN] Seq=0 Win=512 Len=0"
"163","0.001789","11.0.0.210","10.42.0.2","TCP","60","22778  >  80 [SYN] Seq=0 Win=512 Len=0"
"164","0.001800","11.0.0.210","10.42.0.2","TCP","60","22779  >  80 [SYN] Seq=0 Win=512 Len=0"
"165","0.001816","11.0.0.210","10.42.0.2","TCP","60","22781  >  80 [SYN] Seq=0 Win=512 Len=0"
"166","0.001826","11.0.0.210","10.42.0.2","TCP","60","22782  >  80 [SYN] Seq=0 Win=512 Len=0"
"167","0.001835","11.0.0.210","10.42.0.2","TCP","60","22886  >  80 [SYN] Seq=0 Win=512 Len=0"
"168","0.001843","11.0.0.210","10.42.0.2","TCP","60","22783  >  80 [SYN] Seq=0 Win=512 Len=0"
"169","0.001852","11.0.0.210","10.42.0.2","TCP","60","22810  >  80 [SYN] Seq=0 Win=512 Len=0"
"170","0.001860","11.0.0.210","10.42.0.2","TCP","60","22826  >  80 [SYN] Seq=0 Win=512 Len=0"
"171","0.001869","11.0.0.210","10.42.0.2","TCP","60","22784  >  80 [SYN] Seq=0 Win=512 Len=0"
"172","0.001878","11.0.0.210","10.42.0.2","TCP","60","22785  >  80 [SYN] Seq=0 Win=512 Len=0"
"173","0.001885","11.0.0.210","10.42.0.2","TCP","60","22786  >  80 [SYN] Seq=0 Win=512 Len=0"
"174","0.001894","11.0.0.210","10.42.0.2","TCP","60","22787  >  80 [SYN] Seq=0 Win=512 Len=0"
"175","0.001902","11.0.0.210","10.42.0.2","TCP","60","22788  >  80 [SYN] Seq=0 Win=512 Len=0"
"176","0.001911","11.0.0.210","10.42.0.2","TCP","60","22946  >  80 [SYN] Seq=0 Win=512 Len=0"
"177","0.001944","11.0.0.210","10.42.0.2","TCP","60","22790  >  80 [SYN] Seq=0 Win=512 Len=0"
"178","0.001954","11.0.0.210","10.42.0.2","TCP","60","22791  >  80 [SYN] Seq=0 Win=512 Len=0"
"179","0.001965","11.0.0.210","10.42.0.2","TCP","60","22955  >  80 [SYN] Seq=0 Win=512 Len=0"
"180","0.001986","11.0.0.210","10.42.0.2","TCP","60","22792  >  80 [SYN] Seq=0 Win=512 Len=0"
"181","0.001995","11.0.0.210","10.42.0.2","TCP","60","22793  >  80 [SYN] Seq=0 Win=512 Len=0"
"182","0.002004","11.0.0.210","10.42.0.2","TCP","60","22794  >  80 [SYN] Seq=0 Win=512 Len=0"
"183","0.002012","11.0.0.210","10.42.0.2","TCP","60","22795  >  80 [SYN] Seq=0 Win=512 Len=0"
"184","0.002021","11.0.0.210","10.42.0.2","TCP","60","22796  >  80 [SYN] Seq=0 Win=512 Len=0"
"185","0.002030","11.0.0.210","10.42.0.2","TCP","60","22797  >  80 [SYN] Seq=0 Win=512 Len=0"
"186","0.002038","11.0.0.210","10.42.0.2","TCP","60","22798  >  80 [SYN] Seq=0 Win=512 Len=0"
"187","0.002046","11.0.0.210","10.42.0.2","TCP","60","22799  >  80 [SYN] Seq=0 Win=512 Len=0"
